state,ufo_sightings,state_long,population,sightings_per_10k,bf_sightings
CA,8912,California,38802500.0,2.296759229431093,422.0
WA,3966,Washington,7061530.0,5.616346599108125,610.0
FL,3835,Florida,19893297.0,1.9277850222615187,306.0
TX,3447,Texas,26956958.0,1.2787051120530737,231.0
NY,2980,New York,19746227.0,1.5091490642744054,114.0
IL,2499,Illinois,12880580.0,1.9401300252007283,238.0
AZ,2414,Arizona,6731484.0,3.5861334588331486,85.0
PA,2366,Pennsylvania,12787209.0,1.8502864855028176,120.0
OH,2275,Ohio,11594163.0,1.962194252400971,306.0
MI,1836,Michigan,9909877.0,1.8526970617294245,217.0
OR,1747,Oregon,3970239.0,4.400238877306883,249.0
NC,1740,North Carolina,9943964.0,1.7498052084661608,90.0
MO,1458,Missouri,6063589.0,2.4045165330301908,159.0
CO,1413,Colorado,5355866.0,2.638228813043493,127.0
IN,1288,Indiana,6596855.0,1.9524455213886007,79.0
VA,1273,Virginia,8326289.0,1.5288924033263798,81.0
MA,1256,Massachusetts,6745408.0,1.8620074575177663,29.0
NJ,1255,New Jersey,8938175.0,1.4040897610530114,68.0
GA,1255,Georgia,10097343.0,1.2429012265900048,129.0
WI,1232,Wisconsin,5757564.0,2.13979384336848,87.0
TN,1119,Tennessee,6549352.0,1.7085659772142343,96.0
MN,1012,Minnesota,5457173.0,1.8544400186690069,73.0
SC,1003,South Carolina,4832482.0,2.075537994761284,43.0
CT,892,Connecticut,3596677.0,2.4800670174163537,21.0
KY,855,Kentucky,4413457.0,1.9372568940855208,114.0
MD,837,Maryland,5976407.0,1.4005070270481912,35.0
NV,803,Nevada,2839099.0,2.828362096566552,7.0
OK,724,Oklahoma,3878051.0,1.866917170506525,99.0
NM,720,New Mexico,2085572.0,3.452290306927788,42.0
IA,678,Iowa,3107126.0,2.1820808039326374,56.0
AL,642,Alabama,4849377.0,1.3238813975485924,95.0
UT,622,Utah,2942902.0,2.113560016609456,59.0
KS,613,Kansas,2904021.0,2.1108662781708536,45.0
AR,588,Arkansas,2966369.0,1.9822213622108371,103.0
ME,558,Maine,1330089.0,4.195207989841282,18.0
LA,558,Louisiana,4649676.0,1.200083618729563,41.0
ID,521,Idaho,1634464.0,3.187589325919689,97.0
NH,486,New Hampshire,1326813.0,3.662912558137432,14.0
MT,478,Montana,1023579.0,4.669888694473021,51.0
WV,448,West Virginia,1850326.0,2.421194967805673,104.0
NE,381,Nebraska,1881503.0,2.0249768403239323,15.0
MS,375,Mississippi,2994079.0,1.252471962162655,22.0
AK,319,Alaska,736732.0,4.329932729947933,21.0
HI,262,Hawaii,1419561.0,1.845641011552163,
VT,260,Vermont,626562.0,4.1496292465869296,10.0
RI,228,Rhode Island,1055173.0,2.160783113290427,5.0
SD,183,South Dakota,853175.0,2.144929234916635,13.0
WY,175,Wyoming,584153.0,2.9957904863965434,27.0
DE,166,Delaware,935614.0,1.774235956281116,5.0
ND,129,North Dakota,739482.0,1.744464368301054,4.0
